flowerData,beeData,lifespanData,eggsData,visitedFlowers,bee_types,beeDataHistory,fbRatio
"[{'Lavender': 507, 'Bee balm': 520, 'Sunflower': 723, 'Coneflower': 1253, 'Blueberry': 997}
 {'Lavender': 507, 'Bee balm': 520, 'Sunflower': 723, 'Coneflower': 1253, 'Blueberry': 997}
 {'Lavender': 507, 'Bee balm': 520, 'Sunflower': 723, 'Coneflower': 1253, 'Blueberry': 997}
 {'Lavender': 507, 'Bee balm': 520, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[10 10]
 [ 8  9]
 [ 0  0]
 [ 0  0]]",0.0,0,0,0,0,200.0
"[{'Lavender': 814, 'Bee balm': 702, 'Sunflower': 1173, 'Coneflower': 2040, 'Blueberry': 1571}
 {'Lavender': 814, 'Bee balm': 702, 'Sunflower': 1173, 'Coneflower': 2040, 'Blueberry': 1571}
 {'Lavender': 814, 'Bee balm': 702, 'Sunflower': 1173, 'Coneflower': 2040, 'Blueberry': 1571}
 {'Lavender': 814, 'Bee balm': 702, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[4 9]
 [3 6]
 [1 0]
 [0 0]]",14.0,0,51,0,0,484.61538461538464
"[{'Lavender': 566, 'Bee balm': 452, 'Sunflower': 802, 'Coneflower': 1291, 'Blueberry': 944}
 {'Lavender': 566, 'Bee balm': 452, 'Sunflower': 802, 'Coneflower': 1291, 'Blueberry': 944}
 {'Lavender': 566, 'Bee balm': 452, 'Sunflower': 802, 'Coneflower': 1291, 'Blueberry': 944}
 {'Lavender': 566, 'Bee balm': 452, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[ 4 11]
 [ 4  5]
 [ 3  0]
 [ 0  0]]",22.0,1,189,1,0,270.3333333333333
"[{'Lavender': 790, 'Bee balm': 536, 'Sunflower': 954, 'Coneflower': 1377, 'Blueberry': 1489}
 {'Lavender': 790, 'Bee balm': 536, 'Sunflower': 954, 'Coneflower': 1377, 'Blueberry': 1489}
 {'Lavender': 790, 'Bee balm': 536, 'Sunflower': 954, 'Coneflower': 1377, 'Blueberry': 1489}
 {'Lavender': 790, 'Bee balm': 536, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[ 2 10]
 [ 2  4]
 [ 1  0]
 [ 0  0]]",23.0,0,99,0,0,428.8333333333333
"[{'Lavender': 495, 'Bee balm': 288, 'Sunflower': 635, 'Coneflower': 725, 'Blueberry': 952}
 {'Lavender': 495, 'Bee balm': 288, 'Sunflower': 635, 'Coneflower': 725, 'Blueberry': 952}
 {'Lavender': 495, 'Bee balm': 288, 'Sunflower': 635, 'Coneflower': 725, 'Blueberry': 952}
 {'Lavender': 495, 'Bee balm': 288, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[1 9]
 [1 8]
 [1 0]
 [0 0]]",23.0,0,176,1,0,309.5
,,23.0,1,176,1,0,
,,24.0,1,185,1,0,
,,26.0,1,196,1,0,
,,27.0,1,196,1,0,
,,27.0,1,182,1,0,
,,28.0,1,202,1,0,
,,29.0,1,237,1,0,
,,32.0,0,125,0,0,
,,33.0,0,117,0,0,
,,39.0,1,137,0,0,
,,39.0,0,143,0,0,
,,40.0,1,169,0,0,
,,44.0,1,138,0,0,
,,44.0,1,153,0,0,
,,90.0,1,243,1,0,
,,16.0,0,85,0,1,
,,17.0,1,160,1,1,
,,19.0,1,151,1,1,
,,21.0,1,166,1,1,
,,23.0,1,177,1,1,
,,23.0,1,167,1,1,
,,23.0,1,170,1,1,
,,25.0,1,179,1,1,
,,29.0,2,179,1,1,
,,39.0,2,162,0,1,
,,41.0,1,152,0,1,
,,51.0,2,175,0,1,
,,60.0,1,152,0,1,
,,18.0,0,121,1,2,
,,20.0,0,165,1,2,
,,20.0,0,158,1,2,
,,21.0,0,156,1,2,
,,21.0,1,149,1,2,
,,22.0,1,188,1,2,
,,24.0,1,155,1,2,
,,26.0,1,200,1,2,
,,27.0,1,204,1,2,
,,29.0,1,244,1,2,
,,37.0,1,205,0,2,
,,52.0,1,173,0,2,
,,54.0,1,161,0,2,
,,57.0,1,149,0,2,
,,91.0,1,210,1,3,
,,12.0,0,92,1,3,
,,12.0,0,85,1,3,
,,16.0,0,120,1,3,
,,21.0,1,133,1,3,
,,22.0,1,185,1,3,
,,23.0,1,166,1,3,
,,26.0,1,150,1,3,
,,27.0,1,161,1,3,
,,41.0,2,117,0,3,
,,48.0,2,125,0,3,
,,60.0,2,117,0,3,
,,20.0,0,122,1,4,
,,25.0,0,149,1,4,
,,25.0,0,137,1,4,
,,25.0,1,160,1,4,
,,26.0,0,189,1,4,
,,26.0,1,167,1,4,
,,27.0,0,162,1,4,
,,28.0,1,186,1,4,
,,51.0,1,129,0,4,
,,60.0,1,129,0,4,
