flowerData,beeData,lifespanData,eggsData,visitedFlowers,bee_types,beeDataHistory,fbRatio
"[{'Lavender': 476, 'Bee balm': 551, 'Sunflower': 774, 'Coneflower': 1220, 'Blueberry': 979}
 {'Lavender': 476, 'Bee balm': 551, 'Sunflower': 774, 'Coneflower': 1220, 'Blueberry': 979}
 {'Lavender': 476, 'Bee balm': 551, 'Sunflower': 774, 'Coneflower': 1220, 'Blueberry': 979}
 {'Lavender': 476, 'Bee balm': 551, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[10 10]
 [ 9  8]
 [ 3  0]
 [ 0  0]]",17.0,0,122,1,0,200.0
"[{'Lavender': 745, 'Bee balm': 995, 'Sunflower': 1386, 'Coneflower': 2119, 'Blueberry': 1779}
 {'Lavender': 745, 'Bee balm': 995, 'Sunflower': 1386, 'Coneflower': 2119, 'Blueberry': 1779}
 {'Lavender': 745, 'Bee balm': 995, 'Sunflower': 1386, 'Coneflower': 2119, 'Blueberry': 1779}
 {'Lavender': 745, 'Bee balm': 995, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[3 6]
 [2 5]
 [2 0]
 [0 0]]",18.0,0,126,1,0,780.4444444444445
"[{'Lavender': 325, 'Bee balm': 436, 'Sunflower': 797, 'Coneflower': 978, 'Blueberry': 873}
 {'Lavender': 325, 'Bee balm': 436, 'Sunflower': 797, 'Coneflower': 978, 'Blueberry': 873}
 {'Lavender': 325, 'Bee balm': 436, 'Sunflower': 797, 'Coneflower': 978, 'Blueberry': 873}
 {'Lavender': 325, 'Bee balm': 436, 'Sunflower': 0, 'Coneflower': 0, 'Blueberry': 0}]","[[3 9]
 [3 7]
 [1 0]
 [0 0]]",19.0,0,95,0,0,284.0833333333333
"[{'Lavender': 216, 'Bee balm': 447, 'Sunflower': 897, 'Coneflower': 882, 'Blueberry': 1154}
 {'Lavender': 216, 'Bee balm': 447, 'Sunflower': 897, 'Coneflower': 882, 'Blueberry': 1154}
 {'Lavender': 216, 'Bee balm': 447, 'Sunflower': 897, 'Coneflower': 882, 'Blueberry': 1154}
 {'Lavender': 216, 'Bee balm': 447, 'Sunflower': 439, 'Coneflower': 421, 'Blueberry': 561}]","[[0 1]
 [0 0]
 [0 0]
 [0 0]]",22.0,0,162,1,0,3596.0
"[{'Lavender': 6, 'Bee balm': 3, 'Sunflower': 36, 'Coneflower': 20, 'Blueberry': 47}
 {'Lavender': 6, 'Bee balm': 3, 'Sunflower': 36, 'Coneflower': 20, 'Blueberry': 47}
 {'Lavender': 6, 'Bee balm': 3, 'Sunflower': 36, 'Coneflower': 20, 'Blueberry': 47}
 {'Lavender': 6, 'Bee balm': 3, 'Sunflower': 18, 'Coneflower': 9, 'Blueberry': 23}]","[[0 0]
 [0 0]
 [0 0]
 [0 0]]",26.0,1,195,1,0,0.0
,,26.0,1,186,1,0,
,,28.0,0,203,1,0,
,,28.0,1,224,1,0,
,,29.0,1,241,1,0,
,,30.0,1,247,1,0,
,,32.0,0,165,0,0,
,,32.0,0,123,0,0,
,,33.0,0,128,0,0,
,,34.0,0,142,0,0,
,,36.0,0,154,0,0,
,,41.0,0,176,0,0,
,,55.0,1,171,0,0,
,,56.0,1,184,0,0,
,,59.0,1,201,0,0,
,,90.0,1,227,1,0,
,,16.0,0,105,0,1,
,,22.0,1,153,1,1,
,,25.0,1,176,1,1,
,,25.0,1,211,1,1,
,,29.0,2,239,1,1,
,,49.0,2,200,0,1,
,,54.0,3,192,0,1,
,,60.0,2,200,0,1,
,,60.0,3,192,0,1,
,,16.0,0,103,1,2,
,,19.0,0,115,1,2,
,,22.0,0,153,1,2,
,,24.0,0,182,1,2,
,,24.0,0,83,0,2,
,,25.0,0,174,1,2,
,,25.0,0,183,1,2,
,,26.0,0,188,1,2,
,,27.0,0,174,1,2,
,,34.0,0,128,0,2,
,,55.0,0,158,0,2,
,,60.0,0,128,0,2,
,,17.0,0,55,1,3,
